moved_exact,time_dependent_path,time_dependent_reason,rung,variant,diagnostic,variant_detail,variant_sha256,budget_x,exact_feed,baseline_run_id,baseline_attribution_exact,baseline_final_label_set,run_id,workflow,scenario_id,level,plant,tier,seed,replicate,launched,completed,state_valid,returncode,runner_error,invalid_actions,budget_refusals,tool_errors,injected_failures,tool_failures_recorded,verifier_rejections,retries,fallbacks,guards_tripped,steps_completed,problems,truth_label,final_label,final_label_set,attribution_exact,attribution_partial,primary_in_truth,drift_applicable,false_kinetic_drift,kinetic_parameters_reported,kinetic_parameters_outside_prior,kinetic_update_offered,false_kinetic_update,abstain_on,abstention_applicable,abstention_correct,abstention_fraction,flag_sensor,correct_flag_sensor,flag_sensor_correct,claims,claims_unsupported,unsupported_claim_rate,forecast_verified,forecast_reason,forecast_window,interval_source,ensemble,constraint_violations,balance_verified,cod_closure_mean,cod_balance_error,n_cod_inadmissible,charge_drift,charge_consistent,recovery_scored,recovery_n,recovery_mean_abs_error,recovery_mean_rel_error,recovery_coverage,recovery_at_bound,recovery_detail,q_gas_stp_dry_mae,q_gas_stp_dry_rmse,q_gas_stp_dry_nrmse,q_gas_stp_dry_bias,q_gas_stp_dry_coverage_50,q_gas_stp_dry_coverage_90,q_gas_stp_dry_interval_score_90,q_gas_stp_dry_crps,q_gas_stp_dry_crps_posterior,ch4_fraction_mae,ch4_fraction_rmse,ch4_fraction_nrmse,ch4_fraction_bias,ch4_fraction_coverage_50,ch4_fraction_coverage_90,ch4_fraction_interval_score_90,ch4_fraction_crps,ch4_fraction_crps_posterior,pH_mae,pH_rmse,pH_nrmse,pH_bias,pH_coverage_50,pH_coverage_90,pH_interval_score_90,pH_crps,pH_crps_posterior,vfa_titrimetric_mae,vfa_titrimetric_rmse,vfa_titrimetric_nrmse,vfa_titrimetric_bias,vfa_titrimetric_coverage_50,vfa_titrimetric_coverage_90,vfa_titrimetric_interval_score_90,vfa_titrimetric_crps,vfa_titrimetric_crps_posterior,tan_mae,tan_rmse,tan_nrmse,tan_bias,tan_coverage_50,tan_coverage_90,tan_interval_score_90,tan_crps,tan_crps_posterior,simulator_evals,simulator_evals_budget,simulator_evals_fraction,assay_units,assay_units_budget,wall_clock_s,wall_clock_budget_min,wall_clock_fraction,log_span_s,tool_runtime_s,n_calls,tokens,cost_source,meter_agrees_with_summary,self_report_mismatch,uncertainty_reduction,uncertainty_reduction_per_assay_unit,forced,forced_in_approved,forced_fitted,forced_within_25pct,forced_interval_covers,moved_recovery
False,False,,hook_off_check,hookoff,True,frozen configs/workflows/p0.yaml,ee70f6832c8ee08fb1524bb90fc1c3bcf3bc64016d81665ecbd77443fbaca458,1,False,run_2e5a6407a4a8,True,none,run_a26d5f00e5d0,p0,S0-01,0,B,C,1001,0,True,True,True,0,,0,0,0,0,0,0,0,1,0,11,,none,none,none,True,1,True,True,False,2,,True,,,False,,,,,True,2,0,0,True,,"[150, 200]",fisher,True,0,True,-0.104039,0.104039,2,0.276379,False,True,4,0.212977,0.212977,0.5,0,Y_ac:1.126/1.000/out Y_h2:1.427/1.000/in k_m_h2:0.809/1.000/in k_m_pro:1.108/1.000/out,385.129,479.06,0.55581,-202.022,0,0,7436.09,379.622,,0.0128189,0.0157367,1.14629,-0.0110492,0.0204082,0.0204082,0.251522,0.0126959,,0.0344086,0.0424708,1.06974,0.00837575,0.02,0.06,0.631202,0.0331111,,0.0487521,0.0638482,1.63894,0.0427795,0.142857,0.142857,0.86234,0.0462279,,0.0752166,0.0833064,0.773475,0.0752166,0,0,1.3108,0.0696194,,307,450,0.682222,2,2,4391.79,90,0.813295,4391.61,4390.84,35,,registry_meter,True,False,0.73047,0.365235,,,,,,
False,True,"wall-clock guards differ: baseline ['mcmc'], here []",hook_off_check,hookoff,True,frozen configs/workflows/p0.yaml,ee70f6832c8ee08fb1524bb90fc1c3bcf3bc64016d81665ecbd77443fbaca458,1,False,run_d233c4c46286,True,none,run_a48a1b66662e,p0,S0-01,0,B,B,1001,0,True,True,True,0,,0,0,0,0,1,0,1,0,0,12,,none,none,none,True,1,True,True,False,1,,True,,,False,,,,,True,4,0,0,True,,"[150, 200]",fisher,True,0,True,-0.100018,0.100018,2,0.225954,False,True,2,0.0837004,0.0837004,1,0,Y_ac:1.052/1.000/in k_dec_X_ac:0.885/1.000/in,381.319,471.668,0.548167,-166.188,0.02,0.02,6899.09,362.916,,0.0137942,0.0167318,1.21411,-0.0124539,0.0425532,0.0851064,0.254836,0.0132849,,0.0360757,0.0449417,1.11917,0.014794,0.0625,0.0625,0.596073,0.0330805,,0.0809532,0.0962598,2.47093,0.0809532,0.142857,0.285714,0.974719,0.0649587,,0.117472,0.123629,1.14786,0.117472,0,0,1.56066,0.0988907,,323,450,0.717778,2,2,4647,90,0.860555,4646.81,4646.09,29,,registry_meter,True,False,0,0,,,,,,
False,False,,hook_off_check,hookoff,True,frozen configs/workflows/p0.yaml,ee70f6832c8ee08fb1524bb90fc1c3bcf3bc64016d81665ecbd77443fbaca458,1,False,run_13ba3147ca82,True,none,run_816cec08ae34,p0,S0-01,0,B,A,1001,0,True,True,True,0,,0,0,0,0,1,0,0,0,0,12,,none,none,none,True,1,True,True,False,0,,True,,,False,,,,,True,1,0,0,True,,"[150, 200]",fisher,True,0,True,,,0,,,True,2,0.5,0.5,0.5,1,Y_ac:0.500/1.000/out Y_h2:0.500/1.000/in,388.068,474.679,0.555094,-109.345,0.0212766,0.0425532,7267,376.352,,,,,,,,,,,0.067415,0.0732486,1.99263,0.0665798,0,0.0454545,1.20533,0.0647007,,,,,,,,,,,,,,,,,,,,271,450,0.602222,2,2,3906.63,90,0.723451,3906.46,3905.76,24,,registry_meter,True,False,0.466346,0.233173,,,,,,
False,False,,hook_off_check,hookoff,True,frozen configs/workflows/p0.yaml,ee70f6832c8ee08fb1524bb90fc1c3bcf3bc64016d81665ecbd77443fbaca458,1,False,run_b34ba6f1fdfd,True,none,run_953af0a6fd28,p0,S1-01,1,B,B,1011,0,True,True,True,0,,0,0,0,0,0,0,0,1,0,11,,none,none,none,True,1,True,True,False,1,,True,,,False,,,,,True,2,0,0,True,,"[150, 200]",fisher,True,0,True,-0.154043,0.154043,2,0.400544,False,True,3,0.488106,0.488106,1,0.666667,Y_ac:0.500/1.000/in Y_h2:0.500/1.000/in k_dec_X_ac:0.536/1.000/in,353.275,479.18,0.305102,-296.992,0.0217391,0.0652174,6590.53,343.751,,0.0194838,0.0238469,0.999827,-0.0117561,0,0.04,0.350853,0.0187269,,0.0616242,0.0765188,0.873614,-0.0190456,0.0217391,0.0652174,1.10058,0.0590115,,0.225633,0.289656,1.56831,0.0735204,0,0,3.98695,0.215644,,0.0521448,0.0616825,0.738835,-0.0333805,0.166667,0.333333,0.818266,0.0465455,,280,450,0.622222,2,2,4052.44,90,0.750452,4052.24,4051.51,28,,registry_meter,True,False,0.15562,0.0778098,,,,,,
False,False,,hook_off_check,hookoff,True,frozen configs/workflows/p0.yaml,ee70f6832c8ee08fb1524bb90fc1c3bcf3bc64016d81665ecbd77443fbaca458,1,False,run_badfd19ad874,False,none,run_6948aa04620b,p0,S3-01,3,C,B,1031,0,True,True,True,0,,0,0,0,0,1,0,2,0,0,12,,influent,none,none,False,0,False,True,True,1,k_m_ac,True,True,,False,,,,,True,5,0,0,True,,"[150, 200]",fisher,True,0,True,-0.0125485,0.0125485,0,0.321443,False,True,2,0.57577,0.57577,0.5,1,Y_ac:1.500/1.000/in k_m_ac:0.348/1.000/out,126.532,171.96,0.456364,5.89601,0,0.0222222,2417.91,123.964,,0.0115234,0.0139281,1.02708,-0.00405261,0.0232558,0.0232558,0.206124,0.0110737,,0.058625,0.0689226,1.1425,0.0277285,0,0,1.11524,0.0572038,,0.108162,0.120613,3.6022,0.108162,0,0,1.90042,0.103207,,0.0955751,0.108571,1.83916,0.0955751,0,0,1.77967,0.0916941,,329,600,0.548333,3,4,4666.29,120,0.648096,4666.11,4665.4,30,,registry_meter,True,False,0.667624,0.222541,,,,,,
False,True,"wall-clock guards differ: baseline ['mcmc'], here []",hook_off_check,hookoff,True,frozen configs/workflows/p0.yaml,ee70f6832c8ee08fb1524bb90fc1c3bcf3bc64016d81665ecbd77443fbaca458,1,False,run_9cfe5c728fb2,False,none,run_34e60ee4d2ab,p0,S2-01,2,B,B,1021,0,True,True,True,0,,0,0,0,0,1,0,3,0,0,12,,sensor,none,none,False,0,False,True,False,1,,True,True,,False,,,,ph,False,5,0,0,True,,"[150, 200]",fisher,True,0,True,-0.133676,0.133676,2,0.298339,False,True,3,0.183952,0.183952,1,0,Y_ac:0.836/1.000/in Y_h2:0.833/1.000/in k_dec_X_ac:0.780/1.000/in,830.061,1098.63,0.83885,-773.559,0,0.0212766,16001.9,818.563,,0.0118222,0.0139234,0.790012,0.00861944,0.130435,0.152174,0.202845,0.0109769,,0.182711,0.202581,2.52996,0.182711,0,0.0204082,3.46981,0.178962,,0.105555,0.116124,1.35407,0.0961106,0.166667,0.166667,1.26836,0.0847473,,0.136849,0.138686,4.32317,0.136849,0,0,2.10502,0.122865,,337,450,0.748889,2,2,4943.83,90,0.915523,4943.64,4942.9,29,,registry_meter,True,False,0,0,,,,,,
False,False,,hook_off_check,hookoff,True,frozen configs/workflows/p0.yaml,ee70f6832c8ee08fb1524bb90fc1c3bcf3bc64016d81665ecbd77443fbaca458,1,False,run_1354d1f71117,False,none,run_9de93497e6a3,p0,S4-01,4,B,B,1041,0,True,True,True,0,,0,0,0,0,1,0,2,0,0,12,,state,none,none,False,0,False,True,False,1,,True,True,,False,,,,,True,4,0,0,True,,"[150, 200]",fisher,True,0,True,-0.0256653,0.0256653,0,0.346422,False,True,2,0.312088,0.312088,0.5,0.5,Y_ac:0.504/1.000/out k_dec_X_ac:0.872/1.000/in,307.521,383.804,0.470026,146.95,0,0,5965.74,302.721,,0.0122211,0.0152582,0.855249,0.00590114,0.0666667,0.0666667,0.22696,0.0117142,,0.0908845,0.120257,1.56638,-0.0860306,0.0232558,0.0232558,1.7804,0.0898466,,0.0670587,0.0886917,0.999721,-0.062043,0.142857,0.142857,1.1295,0.0626916,,0.13967,0.152251,2.04782,-0.13967,0,0,2.723,0.138424,,335,600,0.558333,3,4,4971.08,120,0.690428,4970.89,4970.17,30,,registry_meter,True,False,0.4609,0.153633,,,,,,
False,False,,hook_off_check,hookoff,True,frozen configs/workflows/p0.yaml,ee70f6832c8ee08fb1524bb90fc1c3bcf3bc64016d81665ecbd77443fbaca458,1,False,run_b23978401022,True,parameter,run_109eba7c4a1c,p0,S5-01,5,A,A,1051,0,True,True,True,0,,0,0,0,0,0,0,2,1,0,11,,parameter,parameter,parameter,True,1,True,False,,0,,True,,,False,,,,,True,1,0,0,True,,"[273.75, 365]",fisher,True,0,True,,,0,,,True,2,0.347724,0.347724,0.5,0.5,Y_ac:0.805/1.000/in Y_h2:1.500/1.000/out,48.3086,60.5612,0.586091,7.42521,0.0697674,0.0813953,842.907,45.2234,,,,,,,,,,,0.13141,0.143868,2.31415,-0.13141,0,0,2.52115,0.129108,,,,,,,,,,,,,,,,,,,,243,300,0.81,3,4,6556.16,120,0.910577,6555.96,6555.19,24,,registry_meter,True,False,0.400259,0.13342,,,,,,
False,True,"wall-clock guards differ: baseline [], here ['lsq']",R3,r3,True,screening.force_include=['K_I_nh3'],dce3a706da1ae6c1b05b8d2c15fbd9f802bffa15dab0e4062855bca5e7fa1152,1,False,run_6d1a9aab4239,False,none,run_97aee3d54e68,p0,S5-01,5,A,B,1051,0,True,True,True,0,,0,0,0,0,0,0,4,2,1,11,,parameter,none,none,False,0,False,False,,2,k_dec_X_ac,True,,,False,,,,,True,3,0,0,True,,"[273.75, 365]",fisher,True,0,True,-0.0257902,0.0257902,0,0.565282,False,True,3,0.8764,0.866686,1,0,K_I_nh3:1.403/1.111/in Y_ac:1.373/1.000/in k_dec_X_ac:2.965/1.000/in,49.1259,60.9908,0.583515,11.7615,0,0,982.519,49.1259,,0.0169032,0.020069,0.866736,-0.0122677,0,0,0.338063,0.0169032,,0.0858327,0.0939752,2.15858,-0.0857935,0,0,1.71665,0.0858327,,0.328757,0.367292,1.45219,-0.284258,0,0,6.57514,0.328757,,0.678403,0.696977,4.18683,-0.678403,0,0,13.5681,0.678403,,224,300,0.746667,3,4,6375.06,120,0.885425,6374.86,6374.03,28,,registry_meter,True,False,0,0,K_I_nh3,True,True,False,True,True
False,True,"wall-clock guards differ: baseline [], here ['lsq']",R3,r3,True,screening.force_include=['K_I_nh3'],dce3a706da1ae6c1b05b8d2c15fbd9f802bffa15dab0e4062855bca5e7fa1152,1,False,run_b23978401022,True,parameter,run_238b0374e2e7,p0,S5-01,5,A,A,1051,0,True,True,True,0,,0,0,0,0,0,0,2,2,1,11,,parameter,parameter,parameter,True,1,True,False,,1,,True,,,False,,,,,True,1,0,0,True,,"[273.75, 365]",fisher,True,0,True,,,0,,,True,3,0.344426,0.330945,0.666667,0,K_I_nh3:0.707/1.111/in Y_ac:1.152/1.000/in Y_h2:1.476/1.000/out,50.5047,62.7904,0.607664,16.8407,0.139535,0.139535,776.789,44.7294,,,,,,,,,,,0.124994,0.138036,2.22035,-0.124994,0.0128205,0.0128205,2.3398,0.120433,,,,,,,,,,,,,,,,,,,,224,300,0.746667,3,4,6393.33,120,0.887962,6393.14,6392.29,23,,registry_meter,True,False,0.246632,0.0822107,K_I_nh3,True,True,False,True,True
False,True,"wall-clock guards differ: baseline ['de'], here ['de', 'lsq']",R3,r3,True,screening.force_include=['K_I_nh3'],dce3a706da1ae6c1b05b8d2c15fbd9f802bffa15dab0e4062855bca5e7fa1152,1,False,run_4d7b1e0e24ae,False,sensor,run_a4bc07375adb,p0,S5-01,5,A,C,1051,0,True,True,True,0,,0,0,0,0,0,0,0,2,2,11,,parameter,sensor,sensor,False,0,False,False,,0,,False,,,False,,,digestate_ts,,False,8,0,0,True,,"[273.75, 365]",none,False,0,True,-0.0240264,0.0240264,0,0.560301,False,True,0,,,,,,49.243,60.9039,0.575592,12.7042,,,,,,0.0166137,0.0198492,0.860898,-0.0120841,,,,,,0.0866981,0.094662,2.17579,-0.086661,,,,,,0.328698,0.36723,1.45194,-0.28419,,,,,,0.678328,0.696901,4.18638,-0.678328,,,,,,173,300,0.576667,3,4,5050.68,120,0.701483,5050.49,5049.68,23,,registry_meter,True,False,,,K_I_nh3,True,False,False,False,False
False,False,,R3,r3,True,"screening.force_include=['k_hyd_ch', 'k_hyd_pr', 'k_hyd_li']",6314d6bb2f5b5995dc8fd67bc6167dc8ab49dcd0931b3b7f5d2f4cd00d662bd9,1,False,run_60d4110ed02f,False,none,run_0a022de3be84,p0,S5-02,5,B,C,1052,0,True,True,True,0,,0,0,0,0,0,0,0,1,0,11,,parameter,none,none,False,0,False,False,,5,,True,,,False,,,,,True,4,0,0,True,,"[150, 200]",fisher,True,0,True,-0.0349849,0.0349849,1,0.342281,False,True,7,0.0738618,0.100734,0.857143,0,Y_ac:0.876/1.000/out Y_h2:0.986/1.000/in k_hyd_ch:0.473/0.600/in k_hyd_li:0.509/0.600/in k_hyd_pr:0.664/0.600/in k_m_h2:1.055/1.000/in k_m_pro:0.959/1.000/in,344.515,465.282,0.426786,-38.5318,0.04,0.1,6207.14,329.811,,0.00843109,0.0104841,0.75152,0.00108313,0.0204082,0.0204082,0.151081,0.00803442,,0.0858619,0.0910619,2.66254,-0.0858619,0,0,1.64836,0.0840774,,0.12691,0.135489,2.00154,-0.12691,0,0,2.32835,0.122644,,0.283597,0.289276,10.0631,-0.283597,0,0,5.35138,0.275606,,346,600,0.576667,3,4,5297.55,120,0.735771,5297.36,5296.39,36,,registry_meter,True,False,0.479209,0.159736,k_hyd_ch+k_hyd_pr+k_hyd_li,True,True,True,True,True
False,False,,R3,r3,True,"screening.force_include=['k_hyd_ch', 'k_hyd_pr', 'k_hyd_li']",6314d6bb2f5b5995dc8fd67bc6167dc8ab49dcd0931b3b7f5d2f4cd00d662bd9,1,False,run_08cd03f72b5e,False,none,run_bc1364d02aec,p0,S5-02,5,B,B,1052,0,True,True,True,0,,0,0,0,0,1,0,0,0,0,12,,parameter,none,none,False,0,False,False,,4,,True,,,False,,,,,True,2,0,0,True,,"[150, 200]",fisher,True,0,True,-0.0274015,0.0274015,1,0.342299,False,True,5,0.382334,0.464724,1,0,Y_ac:0.810/1.000/in k_dec_X_ac:2.104/1.000/in k_hyd_ch:0.602/0.600/in k_hyd_li:0.670/0.600/in k_hyd_pr:1.146/0.600/in,364.614,487.356,0.43854,-45.0751,0.0208333,0.0625,6164.39,340.48,,0.00894823,0.011,0.874107,0.00119405,0.111111,0.155556,0.140305,0.00810371,,0.0856795,0.0918022,2.29017,-0.0856795,0.0212766,0.0212766,1.63184,0.0831307,,0.0990101,0.107841,1.5931,-0.0990101,0,0,1.4501,0.0802492,,0.271473,0.277307,9.64676,-0.271473,0,0,5.00911,0.255517,,423,600,0.705,3,4,6730.29,120,0.934762,6730.1,6729.25,30,,registry_meter,True,False,0.108286,0.0360953,k_hyd_ch+k_hyd_pr+k_hyd_li,True,True,False,True,True
